CATAID	Z	nQ	SURVEY_CODE	Z_TONRY	fluxscale	zmax_19p4	zmax_19p8	zmax_17p88	nbands	logmstar	dellogmstar	logmoverl_i	dellogmoverl_i	logage	dellogage	logtau	dellogtau	metal	delmetal	extBV	delextBV	logLWage	dellogLWage	gminusi	delgminusi	uminusr	deluminusr	gminusi_stars	uminusr_stars	C_logM_ur	C_logM_gi	C_logM_eBV	fitphot_u	delfitphot_u	absmag_u	delabsmag_u	absmag_u_stars	fitphot_g	delfitphot_g	absmag_g	delabsmag_g	absmag_g_stars	fitphot_r	delfitphot_r	absmag_r	delabsmag_r	absmag_r_stars	fitphot_i	delfitphot_i	absmag_i	delabsmag_i	absmag_i_stars	fitphot_z	delfitphot_z	absmag_z	delabsmag_z	absmag_z_stars
7484	0.287409991025925	4	5	0.288957118988037	0.942872314794569	0.429638189914323	0.473566983854348	0.268752632084743	5	11.4357817109839	0.107849445776661	1.98077606535689	0.104841088562928	9.79844377567982	0.159731311808537	9.19536754649859	0.335687298112831	0.0165250834029898	0.0114066895789586	0.137124427816201	0.112042381724736	9.58300182317483	0.221818221384965	1.15251208951173	0.0753298208437514	2.25403331220219	0.064223930573552	0.891473198656312	1.9124022808823	0.239176483404401	0.573740120696985	0.112755046395818	20.7929989268784	0.202425790078029	-20.9543662637607	0.0388571844066261	-22.0764694130462	19.4135335382141	0.0356361521226469	-22.4491526620374	0.019841618687298	-23.2528048763767	18.0600233578322	0.0228721951104404	-23.2076102537378	0.0170253517300224	-23.7866991098542	17.5189457758377	0.0146642022268821	-23.602747594463	0.0459375089630806	-24.0536829000897	17.1477871003885	0.0331969377399466	-23.9006959879639	0.078443448915923	-24.2523326477274
7487	0.108730003237724	4	5	0.110061727464199	1.03485576829428	0.144029199793626	0.170509632901108	0.0746496978195155	5	9.30843108799454	0.109518061078934	1.32818531139084	0.100829899119782	9.27684992751988	0.283603756794912	9.75673730809235	0.208213876070028	0.0149905239180079	0.0128675085683099	0.103761221716461	0.0759376843801039	8.68008642938803	0.306779772736619	0.395988501079205	0.0622172377296561	0.992240612098672	0.0695276407108648	0.192363841131811	0.733179095924382	0.493786853406885	0.428161522012702	-0.524327373763143	19.8254330699775	0.0579163884145421	-18.7634005245701	0.0427291963726569	-19.5038526432194	19.0717346292254	0.0231025776920728	-19.5216458745567	0.0173603494215114	-20.0813766538782	18.7621119633545	0.0135610593154398	-19.7546611676094	0.017325735788259	-20.1610032303005	18.6115648444568	0.0228655226403547	-19.9182924889209	0.0364386482601063	-20.2346985280664	18.4493713438021	0.0501741806276401	-20.06191129837	0.0717433692951015	-20.3098926141633
7489	0.128299996256828	4	1	0.129655301570892	1.12117127260091	0.316977072562936	0.358804220718342	0.185979130366216	5	10.9728949332679	0.120835318758484	1.94925648795258	0.129855193950096	9.76405868593352	0.217568690606504	8.72434552873403	0.360094528826321	0.0169361713318669	0.0121217105321378	0.0715871627460461	0.0714852363559581	9.64284424814286	0.27182212023861	1.14101708361218	0.0380027991937163	2.38629074071396	0.0651238119857857	1.00594078393991	2.20850434455948	0.085666418615199	0.427606623061537	-0.375124971052715	19.6663531331487	0.0572272222199453	-19.7549742305913	0.0476201654360645	-20.2990436058377	17.9785506030256	0.0234313091377111	-21.370801085442	0.0163667980948155	-21.7664970913636	16.9483329462169	0.0140219020631453	-22.1398756928044	0.010061839404579	-22.4271959397371	16.5250696621214	0.0103774766345606	-22.5118326869168	0.017097969569431	-22.7344623632675	16.1829608168597	0.0200932108739066	-22.7839184015966	0.0286297867759422	-22.9560152779943
7490	0.107210002839565	5	1	0.10853998363018	1.14323042936354	0.254977813493646	0.293635182265443	0.142626591024515	5	10.4516279432252	0.172094006677826	1.74136535255346	0.155172125007541	9.57397009973999	0.327204938112583	8.66008525299477	0.523939401007964	0.0124616266877803	0.0132563443592571	0.0888394744282927	0.0796566877162967	9.38576237566143	0.322808750815011	0.959580736840937	0.0467862386314244	2.08953659964019	0.0655842509258618	0.790262001649927	1.86955262765134	-0.36784829211056	0.718251185632193	-0.118352526150713	19.5718492750889	0.0660479087646554	-19.30101745452	0.0522604230560429	-19.9604464974873	18.0392101125214	0.0298352024213029	-20.739431055905	0.0215017412241703	-21.2343944125525	17.2178742527058	0.0135278358988817	-21.3889046129515	0.0122747790156298	-21.7442558412712	16.8665417069205	0.0138448930532941	-21.698954785055	0.0193007060215656	-21.9744299282241	16.5996738934686	0.023808215723544	-21.9104590786391	0.0333301496832854	-22.1254289509899
7493	0.266259998083115	4	5	0.267781257629395	1.15919396514309	0.307404686184196	0.350573523963762	0.176877805985169	5	10.7979757718897	0.14386823491621	1.85241549737582	0.138142172687777	9.70194213267131	0.226075900468305	8.88874683195314	0.536862632152663	0.0125224092773707	0.0110975948632754	0.0802820175032889	0.0882477994380515	9.53544452480978	0.282044080352658	1.03679579549026	0.0757801980806997	2.1689298546181	0.0964487012322636	0.88414230603486	1.96953109467172	0.232525334975438	0.70794297016412	0.0332723228770449	21.9397554685833	0.238050068999818	-19.795196627864	0.0631518691006394	-20.4767288932401	20.3024308112543	0.0536561231080864	-21.2639689399252	0.0174836687179943	-21.7496661953128	19.0260428414863	0.0166266193031554	-21.961833844362	0.021837268229982	-22.3072116304422	18.5439281231351	0.0177397278118617	-22.3020541708499	0.048383783344091	-22.5703511768568	18.2257748717687	0.0391775707282406	-22.540893688641	0.0789033287580624	-22.7511379939756
7496	0.255849987268448	4	5	0.257358878850937	0.904065705688343	0.305874319075799	0.351432542292894	0.173585715206489	5	10.7499415693518	0.125315766564276	1.78989057542835	0.132538895124579	9.63795243926565	0.302903552686917	9.60398203871783	0.330138779837076	0.00760732431042156	0.0109399862897015	0.302434931432694	0.163619755091601	9.12993160286785	0.510064461400307	0.978016638559927	0.0989690836985087	1.84518591123225	0.0783193918624558	0.389096062538308	1.09180417159543	0.202346861523524	0.055086650845151	-0.387358505710877	20.9268602090665	0.133649836763074	-20.1480479921031	0.0507695552234842	-22.4074179193838	19.822778095248	0.033826440790669	-21.3755793279492	0.0199803512561637	-23.0793632690841	18.8380255290822	0.0189291156130102	-21.991831918554	0.020062828509113	-23.2293720591365	18.4072688957937	0.0171646655027475	-22.3560713572017	0.065223975904821	-23.3277762956984	18.0725396295044	0.0491001318204325	-22.6312236080664	0.135067532458246	-23.4037663014737
7500	0.160740002989769	4	5	0.162134781479836	0.992384562394734	0.219335172041408	0.257409499372377	0.117225878417581	5	10.0689428663907	0.151934296593436	1.60152938307539	0.144278617235054	9.58901683882229	0.344469594951124	9.48342300542287	0.424845791605827	0.00630157589261918	0.00941044737163766	0.14428998257317	0.104843002021748	9.12702103952441	0.378466455095919	0.670408101066434	0.0726759361518957	1.54726057993718	0.0832645130489478	0.389985245505722	1.1888921885803	-0.197575151175031	0.593952313063417	-0.0960835777656004	20.3880749430818	0.11614120000887	-19.3206955688392	0.0610910704212345	-20.4035629577107	19.2874338003669	0.0294231051644867	-20.4325983102624	0.0269023042523513	-21.24047137394	18.6515870430377	0.0173091232843355	-20.8656780888883	0.0171798168977221	-21.4488023992512	18.3730830189646	0.0199926030275248	-21.1034547763913	0.0374724891645841	-21.5583745093517	18.1605800965066	0.0414694193759033	-21.2720016867893	0.0674153356960464	-21.6304233454562
7504	0.105410002171993	4	2	0.106737807393074	0.980031307223682	0.174938258501974	0.205724358098926	0.0926409392139756	5	9.81075880474848	0.119184261050435	1.59550740346901	0.11958196118358	9.7194352314004	0.242178058076968	9.72971253164381	0.22479635315529	0.00475157278288772	0.00557213637994448	0.104357885935596	0.0799358086933345	9.20989389508828	0.320506155554673	0.589185643594251	0.0506961792804502	1.35007339431274	0.0674235745177902	0.386273934930957	1.09030375243308	0.348430034127154	0.329911949292543	-0.465094254777904	19.6639279639162	0.0643312111441565	-18.9369338297661	0.0443900316335011	-19.6921866170105	18.6772033479076	0.0242457324208326	-19.9068757071097	0.0154305312450903	-20.4779539891871	18.2041113189235	0.0102508720744225	-20.285870798971	0.0148228214275528	-20.6981718105424	17.9797322420688	0.0197614864156691	-20.4964187607541	0.0281800180182735	-20.8170377405406	17.7955974648817	0.0373382882843202	-20.6426645811424	0.0529565050077853	-20.8944505885676
7510	0.195309996604919	4	5	0.19674526154995	1.02651006523788	0.246434508300247	0.283317098741548	0.139029072899715	4	10.6815145551954	0.111304577890482	1.96971325919884	0.112690308035328	9.82362353199198	0.169713020722468	9.27334747943905	0.412742706783559	0.0154443601501315	0.01195634324439	0.130117766146887	0.111904073317428	9.59380134400545	0.235096004166156	1.12156282963854	0.067916225329681	2.19377426075912	0.095802386289809	0.873336873273048	1.86943038987472	-0.161460805057732	0.558164417371041	0.144946876829355	21.3305419808696	0.208118213872866	-19.1651619236016	0.0666743312490434	-20.2367289539065	19.9256422100569	0.0403781251071361	-20.6188887710534	0.0226012142946432	-21.3788640556248	18.8166973456381	0.0251122655726111	-21.3562195122791	0.0156479112726227	-21.9022921257501	18.3433643111651	0.0154418903379434	-21.7409398011602	0.0358396524479129	-22.1665273146566	17.9928862279112	0.0357551419426488	-22.0276657224636	0.0722376674658781	-22.3608461878389
7511	0.0592800006270409	4	5	0.0605521537363529	0.98864196467039	0.0748795821446502	0.0891171041377671	0.0380798622514375	5	9.01148116438683	0.127777058373401	1.59234501748868	0.125731640175322	9.69386002015284	0.269238869786649	9.68876471661004	0.263879252379609	0.00429934970963775	0.00581426353071503	0.112415187219613	0.0813827716054154	9.19430730441629	0.327239585371057	0.59149633206881	0.0530005948282497	1.37409875782976	0.0794816264607386	0.372894026106167	1.09447976724707	0.192860473329128	0.426881188340141	-0.382791004336629	20.3687192008394	0.0712438794606904	-16.9178527826782	0.0560639043337122	-17.7250083648372	19.3152907890077	0.0258626974987114	-17.9091067444099	0.0208035190452558	-18.5202071393528	18.8894120488758	0.0113037885649142	-18.2899913879716	0.0132922959073363	-18.7315546241714	18.6714702470166	0.0201240330057995	-18.5007247074917	0.0248925157012209	-18.8441921453338	18.50671501798	0.0384672157929464	-18.6454252162804	0.0476513037657079	-18.9150490845623
